,address,price,price_m2,area_m2,rooms,floor,parking,market,build_yr,building_type,elevator,heating_type,max_floor,balcony,backyard,terrace,building_age,district,street,log_price,log_price_m2,log_area_m2
1582,"Gdynia, Chylonia",429000.0,7944.0,54.0,3.0,0.0,0,wtórny,1980.0,blok,0.0,miejskie,4.0,1,0,0,42.0,Chylonia,,5.632457292184724,3.900039235487325,1.7323937598229686
1583,"Gdynia, Obłuże",438000.0,9291.0,47.14,2.0,0.0,0,wtórny,2012.0,blok,1.0,miejskie,4.0,0,1,1,10.0,Obłuże,,5.6414741105041,3.968062460076449,1.673389578188305
1584,"Gdynia, Orłowo, ul. Wrocławska",1025206.0,13100.0,78.26,4.0,1.0,1,pierwotny,2022.0,apartamentowiec,1.0,kotłownia,3.0,1,0,0,0.0,Orłowo,,6.010811139220426,4.117271295655764,1.8935398435646613
1585,"Gdynia, Orłowo, ul. Wrocławska 41",941759.0,13100.0,71.89,4.0,1.0,1,pierwotny,2022.0,apartamentowiec,1.0,kotłownia,3.0,1,0,0,0.0,Orłowo,,5.973939779267299,4.117271295655764,1.856668483611535
1586,"Gdynia, Oksywie",504730.0,8500.0,59.38,4.0,1.0,0,pierwotny,2021.0,,0.0,,3.0,1,0,0,1.0,Oksywie,,5.703059118974319,3.929418925714293,1.7736401932600259
1587,"Gdynia, Chylonia, Kartuska",599000.0,11909.0,50.3,2.0,3.0,0,wtórny,2016.0,,0.0,gazowe,3.0,1,0,0,6.0,Chylonia,,5.7774268223893115,4.0758752952598325,1.7015679850559273
1588,"Gdynia, pomorskie",350000.0,7726.0,45.3,2.0,4.0,0,wtórny,1975.0,blok,0.0,miejskie,4.0,1,0,0,47.0,,,5.544068044350276,3.8879547038088016,1.6560982020128319
1589,"Gdynia, Działki Leśne",699000.0,11650.0,60.0,2.0,3.0,0,wtórny,,kamienica,0.0,,5.0,0,0,0,,Działki Leśne,,5.8444771757456815,4.066325925362038,1.7781512503836436
1590,"Gdynia, Działki Leśne, Śląska",599000.0,13614.0,44.0,2.0,3.0,0,wtórny,,kamienica,0.0,,5.0,0,0,0,,Działki Leśne,,5.7774268223893115,4.133985746268579,1.6434526764861874
1591,"Gdynia, Chylonia, Opata Hackiego",317000.0,12431.0,25.5,1.0,1.0,0,wtórny,1970.0,,0.0,miejskie,4.0,0,0,0,52.0,Chylonia,,5.501059262217751,4.094506066454455,1.4065401804339552
1592,"Gdynia, Mały Kack, Strzelców",990000.0,14350.0,68.99,3.0,4.0,1,wtórny,2013.0,blok,1.0,miejskie,6.0,1,0,0,9.0,Mały Kack,,5.99563519459755,4.156851901070011,1.8387861449465945
1593,"Gdynia, Wielki Kack, Górnicza",720000.0,9042.0,79.63,4.0,2.0,0,wtórny,2000.0,blok,0.0,miejskie,3.0,1,0,0,22.0,Wielki Kack,,5.857332496431268,3.9562645026982755,1.901076715726255
1594,"Gdynia, Witomino, Chwarznieńska",359000.0,8447.0,42.5,2.0,3.0,0,wtórny,1980.0,blok,0.0,miejskie,4.0,0,0,0,42.0,Witomino,,5.555094448578319,3.926702494182645,1.6283889300503116
1595,"Gdynia, Dąbrowa, GORCZYCOWA",442000.0,7978.0,55.4,2.0,3.0,0,wtórny,2000.0,blok,0.0,,4.0,0,0,0,22.0,Dąbrowa,,5.645422269349092,3.901894031973821,1.7435097647284297
1596,"Gdynia, Orłowo",1700000.0,15428.0,110.19,4.0,1.0,1,wtórny,1936.0,,0.0,gazowe,3.0,0,0,0,86.0,Orłowo,,6.230448921378274,4.188309630194004,2.042142183064956
1597,"Gdynia, Orłowo",1700000.0,15031.0,113.1,3.0,0.0,1,wtórny,1936.0,,0.0,gazowe,3.0,1,0,0,86.0,Orłowo,,6.230448921378274,4.176987874800811,2.053462604925455
1598,"Gdynia, Śródmieście, Centrum",1599000.0,10826.0,147.7,4.0,1.0,1,wtórny,1992.0,,0.0,gazowe,4.0,1,0,0,30.0,Śródmieście,,6.203848463746235,4.034468022755043,2.1693804953119495
1599,"Gdynia, Śródmieście, Centrum",5999000.0,38210.0,157.0,3.0,10.0,1,wtórny,,apartamentowiec,1.0,,11.0,0,0,1,,Śródmieście,,6.778078861937455,4.582177037688409,2.1958996524092336
1600,"Gdynia, Orłowo, Bernadowska",3400000.0,35417.0,96.0,4.0,1.0,1,wtórny,2020.0,apartamentowiec,1.0,miejskie,2.0,0,0,0,2.0,Orłowo,,6.531478917042255,4.549211771460929,1.9822712330395684
1601,"Gdynia, Witomino, Pańska",679000.0,10180.0,66.7,3.0,2.0,0,wtórny,1990.0,,0.0,,10.0,0,0,0,32.0,Witomino,,5.831869774280501,4.00774777800074,1.824125833916549
1602,"Gdynia, Chylonia",650000.0,9028.0,72.0,3.0,1.0,0,wtórny,2018.0,,0.0,,2.0,1,0,0,4.0,Chylonia,,5.812913356642856,3.9555915504057246,1.8573324964312685
1603,"ul. Kazimierza Górskiego, Gdynia, pomorskie",747000.0,14365.0,52.0,2.0,5.0,1,wtórny,2021.0,apartamentowiec,0.0,miejskie,17.0,1,0,0,1.0,Wzgórze Św. Maksymiliana,Kazimierza Górskiego,5.873320601815399,4.157305630327966,1.7160033436347992
1604,"Gdynia, Wzgórze Św. Maksymiliana, Żołnierzy Dywizji Kościuszkowskiej",1208140.0,14500.0,83.32,4.0,1.0,1,pierwotny,2022.0,apartamentowiec,1.0,,2.0,1,0,0,0.0,Wzgórze Św. Maksymiliana,,6.082117263510683,4.161368002234975,1.9207492612757082
1605,"Gdynia, Kamienna Góra, Józefa Bema",600000.0,12903.0,46.5,2.0,2.0,1,wtórny,1953.0,blok,0.0,miejskie,4.0,1,0,0,69.0,Kamienna Góra,,5.778151250383644,4.110690697273754,1.667452952889954
1606,"Gdynia, Wzgórze Św. Maksymiliana, Dywizji Kościuszkowskiej",890000.0,9845.0,90.4,3.0,2.0,1,wtórny,2001.0,dom,0.0,elektryczne,2.0,0,1,0,21.0,Wzgórze Św. Maksymiliana,,5.949390006644912,3.993215720474137,1.9561684304753633
1607,"Gdynia, Wielki Kack, Myśliwska",499000.0,12639.0,39.48,2.0,3.0,1,wtórny,2015.0,apartamentowiec,1.0,,6.0,1,0,0,7.0,Wielki Kack,,5.69810054562339,4.10171271384651,1.5963771439975991
