,index,address,price,price_m2,area_m2,rooms,floor,parking,market,build_yr,building_type,elevator,heating_type,max_floor,balcony,backyard,terrace,building_age,district,street
76,78,"Gdynia, Wzgórze Św. Maksymiliana, Kazimierza Górskiego",545000.0,11779.0,46.27,2.0,10.0,1,wtórny,2021.0,blok,1.0,miejskie,16.0,1,0,0,1.0,Wzgórze Św. Maksymiliana,
77,79,"Gdynia, Pustki Cisowskie-Demptowo, Pustki Cisowskie, ul. Chabrowa",950000.0,10106.0,94.0,4.0,3.0,1,wtórny,1994.0,kamienica,0.0,miejskie,3.0,1,0,0,28.0,Pustki Cisowskie-Demptowo,
78,80,"Gdynia, Pogórze, Wiceadmirała Kazimierza Porębskiego",434000.0,7232.0,60.01,3.0,3.0,0,wtórny,1986.0,,0.0,miejskie,4.0,0,0,0,36.0,Pogórze,
79,81,"Gdynia, Śródmieście, Podjazd",699999.0,11111.0,63.0,2.0,0.0,1,wtórny,1938.0,kamienica,0.0,miejskie,4.0,0,0,0,84.0,Śródmieście,
80,82,"Gdynia, Grabówek",389000.0,8932.0,43.55,2.0,3.0,0,wtórny,1960.0,apartamentowiec,0.0,miejskie,4.0,1,0,0,62.0,Grabówek,
81,83,"Gdynia, Chylonia",476000.0,8981.0,53.0,3.0,0.0,0,wtórny,1939.0,kamienica,0.0,gazowe,2.0,0,0,0,83.0,Chylonia,
82,84,"Gdynia, Mały Kack",649000.0,10364.0,62.62,2.0,0.0,1,wtórny,2000.0,dom,0.0,gazowe,,1,0,0,22.0,Mały Kack,
83,85,"Gdynia, Chylonia",485000.0,8661.0,56.0,3.0,9.0,0,wtórny,1980.0,blok,1.0,miejskie,10.0,1,0,0,42.0,Chylonia,
84,86,"Gdynia, Chylonia",375000.0,8978.0,41.77,2.0,0.0,0,wtórny,1980.0,blok,0.0,miejskie,4.0,1,0,0,42.0,Chylonia,
85,87,"Gdynia, Chwarzno-Wiczlino, ul. Romana Felińskiego 7",720000.0,8372.0,86.0,4.0,3.0,1,wtórny,2020.0,apartamentowiec,1.0,miejskie,3.0,0,0,1,2.0,Chwarzno-Wiczlino,
86,88,"Gdynia, Chwarzno-Wiczlino, Augustyna Krauzego",799000.0,9184.0,87.0,4.0,4.0,1,wtórny,,apartamentowiec,1.0,,4.0,0,0,1,,Chwarzno-Wiczlino,
87,90,"Gdynia, Pogórze",454000.0,10600.0,42.83,2.0,2.0,1,wtórny,2015.0,blok,1.0,miejskie,4.0,1,0,0,7.0,Pogórze,
88,91,"Gdynia, Chwarzno-Wiczlino, Stanisława Filipkowskiego",880000.0,11000.0,80.0,4.0,3.0,1,wtórny,2014.0,blok,1.0,,3.0,0,0,1,8.0,Chwarzno-Wiczlino,
89,92,"Gdynia, Śródmieście, Stefana Żeromskiego",1260000.0,17627.0,71.48,3.0,1.0,1,wtórny,2020.0,apartamentowiec,1.0,,4.0,1,0,0,2.0,Śródmieście,
90,93,"Gdynia, Leszczynki, Młyńska",540000.0,10000.0,54.0,3.0,3.0,1,wtórny,1986.0,,0.0,,4.0,1,0,0,36.0,Leszczynki,
91,94,"Gdynia, Wzgórze Św. Maksymiliana, ul. Partyzantów",820000.0,21354.0,38.4,3.0,8.0,0,wtórny,1960.0,blok,1.0,miejskie,10.0,1,0,0,62.0,Wzgórze Św. Maksymiliana,
92,95,"ul. Morska, Gdynia, pomorskie",455000.0,7818.0,58.2,3.0,4.0,0,wtórny,,kamienica,0.0,miejskie,4.0,0,0,0,,Gdynia,ul. Morska
